"country_name","country_iso2","week","category","weekly_rank","show_title","season_title","cumulative_weeks_in_top_10"
"South Korea","KR","2021-11-07","TV",3,"Inspector Koo","Inspector Koo: Season 1",1
"South Korea","KR","2021-11-07","TV",4,"Squid Game","Squid Game: Season 1",8
"South Korea","KR","2021-11-07","TV",5,"Hometown Cha-Cha-Cha","Hometown Cha-Cha-Cha: Season 1",10
"South Korea","KR","2021-11-07","TV",6,"Lost","Lost: Season 1",2
"South Korea","KR","2021-11-07","TV",7,"Reflection of You","Reflection of You: Season 1",4
"South Korea","KR","2021-11-07","TV",8,"Love After Divorce","Love After Divorce: Season 2",2
"South Korea","KR","2021-11-07","TV",9,"Hospital Playlist","Hospital Playlist: Season 2",18
"South Korea","KR","2021-11-07","TV",10,"Guardian: The Lonely and Great God","Guardian: The Lonely and Great God: Season 1",5
"South Korea","KR","2021-10-31","Films",1,"Guimoon: The Lightless Door","",1
"South Korea","KR","2021-10-31","Films",2,"Night Teeth","",2
"South Korea","KR","2021-10-31","Films",3,"Army of Thieves","",1
"South Korea","KR","2021-10-31","Films",4,"The Forgotten Battle","",3
"South Korea","KR","2021-10-31","Films",5,"Night in Paradise","",8
"South Korea","KR","2021-10-31","Films",6,"Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train","",5
"South Korea","KR","2021-10-31","Films",7,"Downsizing","",3
"South Korea","KR","2021-10-31","Films",8,"Hypnotic","",1
"South Korea","KR","2021-10-31","Films",9,"Unfaithful","",2
"South Korea","KR","2021-10-31","Films",10,"Kingdom: Ashin of the North","",12
"South Korea","KR","2021-10-31","TV",1,"My Name","My Name: Season 1",3
"South Korea","KR","2021-10-31","TV",2,"Squid Game","Squid Game: Season 1",7
"South Korea","KR","2021-10-31","TV",3,"Hometown Cha-Cha-Cha","Hometown Cha-Cha-Cha: Season 1",9
"South Korea","KR","2021-10-31","TV",4,"The King's Affection","The King's Affection: Season 1",3
"South Korea","KR","2021-10-31","TV",5,"Lost","Lost: Season 1",1
"South Korea","KR","2021-10-31","TV",6,"Reflection of You","Reflection of You: Season 1",3
"South Korea","KR","2021-10-31","TV",7,"The Raincoat Killer: Chasing a Predator in Korea","The Raincoat Killer: Chasing a Predator in Korea: Season 1",2
"South Korea","KR","2021-10-31","TV",8,"Love After Divorce","Love After Divorce: Season 2",1
"South Korea","KR","2021-10-31","TV",9,"Guardian: The Lonely and Great God","Guardian: The Lonely and Great God: Season 1",4
"South Korea","KR","2021-10-31","TV",10,"Men on a Mission","Men on a Mission 2021",3
"South Korea","KR","2021-10-24","Films",1,"The Forgotten Battle","",2
"South Korea","KR","2021-10-24","Films",2,"Night Teeth","",1
"South Korea","KR","2021-10-24","Films",3,"Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train","",4
"South Korea","KR","2021-10-24","Films",4,"The Trip","",1
"South Korea","KR","2021-10-24","Films",5,"Downsizing","",2
"South Korea","KR","2021-10-24","Films",6,"Night in Paradise","",7
"South Korea","KR","2021-10-24","Films",7,"Watchmen","",1
"South Korea","KR","2021-10-24","Films",8,"Diva","",2
"South Korea","KR","2021-10-24","Films",9,"Asura: The City of Madness","",5
"South Korea","KR","2021-10-24","Films",10,"Unfaithful","",1
"South Korea","KR","2021-10-24","TV",1,"My Name","My Name: Season 1",2
"South Korea","KR","2021-10-24","TV",2,"Hometown Cha-Cha-Cha","Hometown Cha-Cha-Cha: Season 1",8
"South Korea","KR","2021-10-24","TV",3,"Squid Game","Squid Game: Season 1",6
"South Korea","KR","2021-10-24","TV",4,"The King's Affection","The King's Affection: Season 1",2
"South Korea","KR","2021-10-24","TV",5,"Reflection of You","Reflection of You: Season 1",2
"South Korea","KR","2021-10-24","TV",6,"You","You: Season 3",1
"South Korea","KR","2021-10-24","TV",7,"Hospital Playlist","Hospital Playlist: Season 2",17
"South Korea","KR","2021-10-24","TV",8,"My Golden Kids","My Golden Kids 2021",1
"South Korea","KR","2021-10-24","TV",9,"Guardian: The Lonely and Great God","Guardian: The Lonely and Great God: Season 1",3
